CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_MDA.py
MEM 91.246094 1589729668.3139
MEM 91.246094 1589729668.4266
MEM 91.246094 1589729668.5273
MEM 91.246094 1589729668.6275
MEM 91.246094 1589729668.7285
MEM 91.246094 1589729668.8290
MEM 91.246094 1589729668.9290
MEM 91.246094 1589729669.0295
MEM 91.246094 1589729669.1299
MEM 91.246094 1589729669.2309
MEM 91.246094 1589729669.3309
MEM 91.246094 1589729669.4318
MEM 91.246094 1589729669.5320
MEM 91.246094 1589729669.6328
MEM 91.246094 1589729669.7336
MEM 91.246094 1589729669.8343
MEM 91.246094 1589729669.9344
MEM 91.246094 1589729670.0351
MEM 91.246094 1589729670.1353
MEM 91.246094 1589729670.2362
MEM 91.246094 1589729670.3369
MEM 91.246094 1589729670.4378
MEM 91.246094 1589729670.5382
MEM 87.746094 1589729670.6387
MEM 67.996094 1589729670.7394
MEM 48.246094 1589729670.8401
MEM 45.058594 1589729670.9404
MEM 45.058594 1589729671.0405
MEM 45.058594 1589729671.1408
MEM 45.058594 1589729671.2412
MEM 45.058594 1589729671.3419
MEM 45.058594 1589729671.4425
MEM 45.058594 1589729671.5428
MEM 45.058594 1589729671.6436
MEM 45.058594 1589729671.7444
MEM 45.058594 1589729671.8450
MEM 45.058594 1589729671.9457
MEM 45.058594 1589729672.0457
MEM 45.058594 1589729672.1464
MEM 45.058594 1589729672.2472
MEM 45.058594 1589729672.3481
MEM 45.058594 1589729672.4488
MEM 45.058594 1589729672.5488
MEM 45.058594 1589729672.6496
MEM 45.058594 1589729672.7505
MEM 45.058594 1589729672.8513
MEM 45.058594 1589729672.9515
MEM 45.058594 1589729673.0520
MEM 45.058594 1589729673.1527
MEM 45.058594 1589729673.2531
MEM 45.058594 1589729673.3542
MEM 45.058594 1589729673.4547
MEM 45.058594 1589729673.5549
MEM 45.058594 1589729673.6549
MEM 45.058594 1589729673.7556
MEM 45.992188 1589729673.8561
